"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"Globals","11","866","0","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","11","2","2","1","13.173607","0","3"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","11","4","4","1","16.824320","0","4"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","11","2","2","1","4.105980","0","2"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","11","2","2","1","8.655838","0","2"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","11","22","22","1","111.539673","0","22"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","11","4","4","1","7.852576","0","4"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","11","2","2","1","4.749153","0","2"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","11","2","2","1","7.517859","0","2"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","11","2","2","1","5.879364","0","2"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","11","4","4","1","8.325500","0","4"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","11","8","8","1","17.343102","0","8"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","11","2","2","1","6.269742","0","2"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","11","40","40","1","225.235794","0","40"
"/Engine/VREditor/TransformGizmo/Xray.Xray","11","20","20","1","71.896736","0","20"
"/Engine/VREditor/TransformGizmo/Main.Main","11","2","2","1","3.336780","0","2"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","11","2","2","1","3.433270","0","2"
"/Interchange/Materials/UnlitMaterial.UnlitMaterial","11","2","2","1","3.884155","0","2"
"/Game/Material/Hologram.Hologram","11","10","10","1","43.239136","0","10"
"/Game/Material/M_Sphere.M_Sphere","11","15","15","1","18.359079","0","15"
